Size,Linear
256,8.75
307,8.748
368,8.749
441,8.749
529,8.749
634,8.749
760,8.754
912,8.753
1094,8.753
1312,8.752
1574,8.752
1888,8.753
2265,8.753
2718,8.754
3261,8.783
3913,8.753
4695,8.753
5634,8.767
6760,8.753
8112,8.77
9734,8.783
11680,8.759
14016,8.778
16819,8.773
20182,8.779
24218,8.791
29061,8.771
41847,8.771
50216,8.793
60259,8.869
72310,8.797
86772,8.819
104126,8.808
124951,8.825
149941,8.816
179929,8.848
215914,8.814
259096,8.84
310915,8.818
373098,8.815
447717,8.844
537260,8.826
644712,8.827
773654,8.834
928384,8.836
1114060,8.828
1336872,8.828
1604246,8.838
1925095,8.844
2310114,8.873
2772136,8.893
3326563,8.938
3991875,10.216
4790250,8.993
5748300,9.019
6897960,9.025
8277552,9.016
