Size,Random
256,8.748
307,8.748
368,8.749
441,8.749
529,8.749
634,8.749
760,8.947
912,8.749
1094,8.75
1312,8.753
1574,8.762
1888,8.75
2265,8.758
2718,8.849
3261,8.752
3913,8.754
4695,8.756
5634,8.765
6760,8.753
8112,8.778
9734,9.437
11680,10.512
14016,11.058
16819,11.575
20182,11.975
24218,12.222
29061,12.693
41847,13.132
50216,14.095
60259,17.586
72310,21.149
86772,25.029
104126,28.835
124951,33.075
149941,36.553
179929,39.351
215914,41.575
259096,43.539
310915,45.115
373098,46.368
447717,47.455
537260,48.581
644712,51.176
773654,53.099
928384,54.673
1114060,56.012
1336872,57.208
1604246,58.53
1925095,61.014
2310114,66.111
2772136,72.504
3326563,86.306
3991875,104.905
4790250,124.924
5748300,142.661
6897960,155.445
8277552,170.852
